id,text
sms-00055,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
sms-00056,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
sms-00057,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
sms-00058,"Sorry, I'll call later in meeting."
sms-00059,Tell where you reached
sms-00060,Yes..gauti and sehwag out of odi series.
sms-00061,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
sms-00062,Ha ha ha good joke. Girls are situation seekers.
sms-00063,Its a part of checking IQ
sms-00064,"Sorry my roommates took forever, it ok if I come by now?"
sms-00065,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
sms-00066,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
sms-00067,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
sms-00068,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
sms-00069,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
sms-00070,I plane to give on this month end.
sms-00071,Wah lucky man... Then can save money... Hee...
sms-00072,Finished class where are you.
sms-00073,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
sms-00074,K..k:)where are you?how did you performed?
sms-00075,U can call me now...
sms-00076,I am waiting machan. Call me once you free.
sms-00077,Thats cool. i am a gentleman and will treat you with dignity and respect.
sms-00078,I like you peoples very much:) but am very shy pa.
sms-00079,Does not operate after  &lt;#&gt;  or what
sms-00080,Its not the same here. Still looking for a job. How much do Ta's earn there.
sms-00081,"Sorry, I'll call later"
sms-00082,K. Did you call me just now ah? 
sms-00083,Ok i am on the way to home hi hi
sms-00084,You will be in the place of that man
sms-00085,Yup next stop.
sms-00086,"I call you later, don't have network. If urgnt, sms me."
sms-00087,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
sms-00088,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
sms-00089,I'm really not up to it still tonight babe
sms-00090,"Ela kano.,il download, come wen ur free.."
sms-00091,Yeah do! Don‘t stand to close tho- you‘ll catch something!
sms-00092,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
sms-00093,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
sms-00094,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
sms-00095,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
sms-00096,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
sms-00097,Watching telugu movie..wat abt u?
sms-00098,i see. When we finish we have loads of loans to pay
sms-00099,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
sms-00100,I see a cup of coffee animation
sms-00101,Please don't text me anymore. I have nothing else to say.
sms-00102,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
sms-00103,I'm still looking for a car to buy. And have not gone 4the driving test yet.
sms-00104,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
sms-00105,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
sms-00106,Umma my life and vava umma love you lot dear
sms-00107,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
sms-00108,"Aight, I'll hit you up when I get some cash"
sms-00109,How would my ip address test that considering my computer isn't a minecraft server
sms-00110,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
sms-00111,Dont worry. I guess he's busy.
sms-00112,What is the plural of the noun research?
sms-00113,Going for dinner.msg you after.
sms-00114,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
sms-00115,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
sms-00116,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
sms-00117,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
sms-00118,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
sms-00119,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
sms-00120,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
sms-00121,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
sms-00122,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
sms-00123,here is my new address -apples&pairs&all that malarky
sms-00124,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
sms-00125,I am going to sao mu today. Will be done only at 12 
sms-00126,Ü predict wat time ü'll finish buying?
sms-00127,"Good stuff, will do."
sms-00128,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
sms-00129,Are you there in room.
sms-00130,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
sms-00131,K..k:)how much does it cost?
sms-00132,I'm home.
sms-00133,"Dear, will call Tmorrow.pls accomodate."
sms-00134,First answer my question.
sms-00135,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
sms-00136,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
sms-00137,I only haf msn. It's yijue@hotmail.com
sms-00138,He is there. You call and meet him
sms-00139,No no. I will check all rooms befor activities
sms-00140,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
sms-00141,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
sms-00142,"K, text me when you're on the way"
sms-00143,"Sir, Waiting for your mail."
sms-00144,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
sms-00145,I know you are. Can you pls open the back?
sms-00146,Yes see ya not on the dot
sms-00147,Whats the staff name who is taking class for us?
sms-00148,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
sms-00149,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
sms-00150,K..i deleted my contact that why?
sms-00151,Sindu got job in birla soft ..
sms-00152,The wine is flowing and i'm i have nevering..
sms-00153,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
sms-00154,Ok... Ur typical reply...
sms-00155,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
sms-00156,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
sms-00157,Aaooooright are you at work?
sms-00158,I'm leaving my house now...
sms-00159,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
sms-00160,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
sms-00161,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
sms-00162,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
sms-00163,New car and house for my parents.:)i have only new job in hand:)
sms-00164,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
sms-00165,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
sms-00166,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
sms-00167,I place all ur points on e cultures module already.
sms-00168,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
sms-00169,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
sms-00170,Great escape. I fancy the bridge but needs her lager. See you tomo 
sms-00171,Yes :)it completely in out of form:)clark also utter waste.
sms-00172,"Sir, I need AXIS BANK account no and bank address."
sms-00173,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
sms-00174,What time you coming down later? 
sms-00175,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
sms-00176,"Well, i'm gonna finish my bath now. Have a good...fine night."
sms-00177,Let me know when you've got the money so carlos can make the call
sms-00178,U still going to the mall?
sms-00179,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
sms-00180,Text her. If she doesnt reply let me know so i can have her log in
sms-00181,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
sms-00182,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
sms-00183,Lol no. U can trust me.
sms-00184,ok. I am a gentleman and will treat you with dignity and respect.
sms-00185,"He will, you guys close?"
sms-00186,Going on nothing great.bye
sms-00187,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
sms-00188,"Haha awesome, be there in a minute"
sms-00189,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
sms-00190,Have you got Xmas radio times. If not i will get it now
sms-00191,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
sms-00192,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
sms-00193,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
sms-00194,Hi :)finally i completed the course:)
sms-00195,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
sms-00196,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
sms-00197,Gud mrng dear hav a nice day
sms-00198,Did u got that persons story
sms-00199,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
sms-00200,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
sms-00201,"Found it, ENC  &lt;#&gt; , where you at?"
sms-00202,I sent you  &lt;#&gt;  bucks
sms-00203,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
sms-00204,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
sms-00205,Goodmorning sleeping ga.
sms-00206,U call me alter at 11 ok.
sms-00207,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
sms-00208,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
sms-00209,"Aight yo, dats straight dogg"
sms-00210,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
sms-00211,Both :) i shoot big loads so get ready!
sms-00212,"What's up bruv, hope you had a great break. Do have a rewarding semester."
sms-00213,Home so we can always chat
sms-00214,K:)k:)good:)study well.
sms-00215,Yup... How ü noe leh...
sms-00216,Sounds great! Are you home now?
sms-00217,Finally the match heading towards draw as your prediction.
sms-00218,Tired. I haven't slept well the past few nights.
sms-00219,Easy ah?sen got selected means its good..
sms-00220,I have to take exam with march 3
sms-00221,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
sms-00222,Ok no prob. Take ur time.
sms-00223,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
sms-00224,"Sorry, I'll call later"
sms-00225,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
sms-00226,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
sms-00227,Would really appreciate if you call me. Just need someone to talk to.
sms-00228,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
sms-00229,Hey company elama po mudyadhu.
sms-00230,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
sms-00231,Dear good morning now only i am up
sms-00232,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
sms-00233,Dear we are going to our rubber place
sms-00234,"Sorry battery died, yeah I'm here"
sms-00235,Yes:)here tv is always available in work place..
sms-00236,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
sms-00237,I have printed it oh. So  &lt;#&gt;  come upstairs
sms-00238,Or ill be a little closer like at the bus stop on the same street
sms-00239,Where are you?when wil you reach here?
sms-00240,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
sms-00241,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
sms-00242,Tomarrow final hearing on my laptop case so i cant.
sms-00243,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
sms-00244,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
sms-00245,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
sms-00246,U don't remember that old commercial?
sms-00247,Too late. I said i have the website. I didn't i have or dont have the slippers
sms-00248,I asked you to call him now ok
sms-00249,Kallis wont bat in 2nd innings.
sms-00250,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
sms-00251,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
sms-00252,Ranjith cal drpd Deeraj and deepak 5min hold
sms-00253,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
sms-00254,What you doing?how are you?
sms-00255,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
sms-00256,"I'm back, lemme know when you're ready"
sms-00257,Don't necessarily expect it to be done before you get back though because I'm just now headin out
sms-00258,Mmm so yummy babe ... Nice jolt to the suzy
sms-00259,Where are you lover ? I need you ...
sms-00260,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
sms-00261,I‘m parked next to a MINI!!!! When are you coming in today do you think?
sms-00262,Yup
sms-00263,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
sms-00264,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
sms-00265,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
sms-00266,Why you Dint come with us.
sms-00267,Same. Wana plan a trip sometme then
sms-00268,"Not sure yet, still trying to get a hold of him"
sms-00269,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
sms-00270,The evo. I just had to download flash. Jealous?
sms-00271,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
sms-00272,"Come to mu, we're sorting out our narcotics situation"
sms-00273,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
sms-00274,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
sms-00275,"Usf I guess, might as well take 1 car"
sms-00276,No objection. My bf not coming.
sms-00277,Thanx...
sms-00278,Tell rob to mack his gf in the theater
sms-00279,"Awesome, I'll see you in a bit"
sms-00280,Just sent it. So what type of food do you like?
sms-00281,All done? All handed in? Celebrations in full swing yet?
sms-00282,You got called a tool?
sms-00283,"""Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch"" gdeve.."
sms-00284,Ok. I asked for money how far
sms-00285,Okie...
sms-00286,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
sms-00287,"K, I might come by tonight then if my class lets out early"
sms-00288,Ok..
sms-00289,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
sms-00290,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
sms-00291,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
sms-00292,Hey you told your name to gautham ah?
sms-00293,Haf u found him? I feel so stupid da v cam was working.
sms-00294,Oops. 4 got that bit.
sms-00295,Are you this much buzy
sms-00296,I accidentally deleted the message. Resend please.
sms-00297,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
sms-00298,Unless it's a situation where YOU GO GURL would be more appropriate
sms-00299,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
sms-00300,I cant pick the phone right now. Pls send a message
sms-00301,Need a coffee run tomo?Can't believe it's that time of week already
sms-00302,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
sms-00303,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
sms-00304,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
sms-00305,He is a womdarfull actor
sms-00306,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
sms-00307,Yup... From what i remb... I think should be can book... 
sms-00308,Jos ask if u wana meet up?
sms-00309,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
sms-00310,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
sms-00311,Where are the garage keys? They aren't on the bookshelf
sms-00312,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
sms-00313,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
sms-00314,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
sms-00315,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
sms-00316,You made my day. Do have a great day too.
sms-00317,K.k:)advance happy pongal.
sms-00318,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
sms-00319,"Not really dude, have no friends i'm afraid :("
sms-00320,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
sms-00321,"Coffee cake, i guess..."
sms-00322,"Merry Christmas to you too babe, i love ya *kisses*"
sms-00323,Hey... Why dont we just go watch x men and have lunch... Haha 
sms-00324,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
sms-00325,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
sms-00326,No problem. How are you doing?
sms-00327,No calls..messages..missed calls
sms-00328,Hi da:)how is the todays class?
sms-00329,"I'd say that's a good sign but, well, you know my track record at reading women"
sms-00330,"Cool, text me when you're parked"
sms-00331,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
sms-00332,K.k:)apo k.good movie.
sms-00333,Maybe i could get book out tomo then return it immediately ..? Or something.
sms-00334,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
sms-00335,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
sms-00336,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
sms-00337,"Ta-Daaaaa! I am home babe, are you still up ?"
sms-00338,Cool. So how come you havent been wined and dined before?
sms-00339,Just sleeping..and surfing
sms-00340,"Sorry, I'll call later"
sms-00341,U calling me right? Call my hand phone...
sms-00342,Ok that's great thanx a lot.
sms-00343,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
sms-00344,Where u been hiding stranger?
sms-00345,Am not interested to do like that.
sms-00346,My sister cleared two round in birla soft yesterday.
sms-00347,Gudnite....tc...practice going on
sms-00348,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
sms-00349,One small prestige problem now.
